Name,Module Name,Activity Type Name,Scheduled Days,Scheduled Start Time,Scheduled End Time,Duration,Scheduled Weeks,Allocated Location Name,Planned Size,Real Size,Allocated Staff Name
ACCO1116/Tutorial/01-05 (MAIB-A202) <03-07>,ACCO1116/Financial & Mgt Accounting/A/GM,Tutorial,Thursday,16:00:00,17:00:00,01:00:00,3-7,SL006,25,25,AFE5
ACCO1116/Tutorial/01-05 (MAIB-A202) <08-14>,ACCO1116/Financial & Mgt Accounting/A/GM,Tutorial,Thursday,16:00:00,17:00:00,01:00:00,8-14,SL009,25,25,AFE5

"ACCO1116/Tutorial/01-07 (MBAIB-A201) <3, 5, 7, 9-10, 12, 14>",ACCO1116/Financial & Mgt Accounting/A/GM,Tutorial,Tuesday,15:00:00,16:00:00,01:00:00,"3, 5, 7, 9-10, 12, 14",QA175,21,21,AFE6
"ACCO1116/Tutorial/01-07 (MBAIB-A201) <4, 6>",ACCO1116/Financial & Mgt Accounting/A/GM,Tutorial,Tuesday,15:00:00,16:00:00,01:00:00,"4, 6",QA010,21,21,AFE6

"BUSI1204/Tutorial/01-01 <03-07, 09-14>",BUSI1204/Personal & Prof Development/A/GM,Tutorial,Monday,16:00:00,18:00:00,02:00:00,"3-7, 9-14",QA063,32,31,IB14
BUSI1204/Tutorial/01-01 <08>,BUSI1204/Personal & Prof Development/A/GM,Tutorial,Monday,16:00:00,18:00:00,02:00:00,8,QA239,32,31,IB14
BUSI1710/Tutorial/01-06,BUSI1710/International Business Project/J/GM,Tutorial,Monday,16:00:00,17:00:00,01:00:00,19-30,QM167,11,11,IB14

BUSI1204/Tutorial/01-03 (BABS-401),BUSI1204/Personal & Prof Development/A/GM,Tutorial,Monday,16:00:00,18:00:00,02:00:00,3-14,QA139,34,32,BMOL4
BUSI1744/Workshop/02 (BABMGLE-6) <11-14>,BUSI1744/Managerial Strat & Ldrshp Dev/B/GM,Workshop,Monday,14:00:00,17:00:00,03:00:00,11-14,QA239,21,21,BMOL4

BUSI1204/Tutorial/01-05 (BABLSCM-401),BUSI1204/Personal & Prof Development/A/GM,Tutorial,Monday,09:00:00,11:00:00,02:00:00,3-14,QM145,16,16,OSP2
"BUSI1712/ITLab/01-03 (BABMK-503a, BABMK-502b)",BUSI1712/Project Planning & Management/B/GM,ITLab,Monday,09:00:00,11:00:00,02:00:00,19-30,D166 (Classroom/IT),21,32,OSP2

BUSI1204/Tutorial/01-09 (BAIBL-401),BUSI1204/Personal & Prof Development/A/GM,Tutorial,Monday,16:00:00,18:00:00,02:00:00,3-14,11_2007 (Seminar),28,27,IB8
BUSI1710/Tutorial/01-07,BUSI1710/International Business Project/J/GM,Tutorial,Monday,17:00:00,18:00:00,01:00:00,19-30,QM167,13,12,IB8

BUSI1204/Tutorial/01-13 (BABMG-S404) <03-05>,BUSI1204/Personal & Prof Development/A/GM,Tutorial,Tuesday,13:00:00,15:00:00,02:00:00,3-5,QA175,29,26,OSP16
"BUSI1746/Workshop/02 (BABMGLE-6) <35, 38>",BUSI1746/Final Year Project/C/GM,Workshop,Tuesday,14:00:00,17:00:00,03:00:00,"35, 38",QA139,17,21,OSP16

BUSI1204/Tutorial/01-13 (BABMG-S404) <06-14>,BUSI1204/Personal & Prof Development/A/GM,Tutorial,Thursday,11:00:00,13:00:00,02:00:00,6-14,QA039,29,26,OSP16
"BUSI1791/Lecture/01 (MSBA-J) <34-39, 41-45>",BUSI1791/Innovation Strategy/C/GM,Lecture,Thursday,11:00:00,12:00:00,01:00:00,"34-39, 41-45",KW302 (LT),90,58,OSP16
BUSI1791/Lecture/01 (MSBA-J) <40>,BUSI1791/Innovation Strategy/C/GM,Lecture,Thursday,11:00:00,12:00:00,01:00:00,40,11_0004 (LT),90,58,OSP16
BUSI1791/Tutorial/01-02 (MSBA-J102),BUSI1791/Innovation Strategy/C/GM,Tutorial,Thursday,12:00:00,13:00:00,01:00:00,34-45,Cooper 018,25,30,OSP16

"BUSI1204/Tutorial/01-14 <03-07, 09-14>",BUSI1204/Personal & Prof Development/A/GM,Tutorial,Thursday,09:00:00,11:00:00,02:00:00,"3-7, 9-14",QM269,28,28,BMOL11
BUSI1204/Tutorial/01-14 <08>,BUSI1204/Personal & Prof Development/A/GM,Tutorial,Thursday,09:00:00,11:00:00,02:00:00,8,SL109,28,28,BMOL11

BUSI1204/Tutorial/01-15 <03-13>,BUSI1204/Personal & Prof Development/A/GM,Tutorial,Thursday,13:00:00,15:00:00,02:00:00,3-13,QA039,27,24,IES18
BUSI1204/Tutorial/01-15 <14>,BUSI1204/Personal & Prof Development/A/GM,Tutorial,Thursday,13:00:00,15:00:00,02:00:00,14,D165 (Classroom/IT),27,24,IES18
BUSI1692/Tutorial/01-3 (MAIB-J03),BUSI1692/International Entrepreneurship/B/GM,Tutorial,Thursday,13:00:00,14:00:00,01:00:00,19-30,QM245,27,26,IES18

BUSI1204/Tutorial/01-16 <03-13>,BUSI1204/Personal & Prof Development/A/GM,Tutorial,Thursday,15:00:00,17:00:00,02:00:00,3-13,QA039,28,26,BMOL5
BUSI1204/Tutorial/01-16 <14>,BUSI1204/Personal & Prof Development/A/GM,Tutorial,Thursday,15:00:00,17:00:00,02:00:00,14,D165 (Classroom/IT),28,26,BMOL5

BUSI1204/Tutorial/01-4 (BABMG-J401) <19-22>,BUSI1204/Personal & Prof Development/B/GM,Tutorial,Tuesday,16:00:00,18:00:00,02:00:00,19-22,D166 (Classroom/IT),30,24,BMOL3
BUSI1204/Tutorial/01-4 (BABMG-J401) <23-30>,BUSI1204/Personal & Prof Development/B/GM,Tutorial,Tuesday,16:00:00,18:00:00,02:00:00,23-30,QA274,30,24,BMOL3

